city_name,latitude,longitude
Abī al Khaşīb,30.4522,47.9858
Abū Ghurayb,33.3131,44.1686
Abū Khashab,35.9358,40.0367
Abū Ḩulayfah,29.1322,48.1261
Ad Darbāsīyah,37.0728,40.6519
Ad Dawr,34.4575,43.7989
Ad Dujayl,33.8389,44.2481
Ad Dīs,14.91,49.992
Ad Dīwānīyah,31.9892,44.9247
Afgooye,2.1167,45.1167
Al Atārib,36.1389,36.83
Al Aḩmadī,29.0769,48.0839
Al Bayḑā’,13.9852,45.5727
Al Başrah,30.515,47.81
Al Fallūjah,33.35,43.7833
Al Fāw,29.98,48.47
Al Hāshimīyah,32.3744,44.6569
Al Jabāyish,30.9549,46.9751
Al Jahrā’,29.35,47.6833
Al Karak,32.6861,36.3486
Al Khawr,25.6839,51.5058
Al Kūfah,32.03,44.4
Al Mayādīn,35.0208,40.4533
Al Maḩmūdīyah,33.0675,44.3622
Al Miqdādīyah,33.9786,44.9369
Al Mukallā,14.5333,49.1333
Al Musayyib,32.7839,44.2764
Al Muḩarraq,26.25,50.6167
Al Qaryatayn,34.2294,37.2406
Al Qaţīf,26.5685,50.0089
Al Quşayr,34.5089,36.5797
Al Qā’im,34.22,41.054
Al Wafrah,28.6392,47.9306
Al Ḩamdānīyah,36.2708,43.3775
Al Ḩamzah,31.7244,44.9769
Al Ḩasakah,36.5117,40.7422
Al Ḩazm,16.1642,44.7767
Al Ḩillah,32.4833,44.4333
Al ‘Awjah,34.5276,43.7092
Al ‘Awwāmīyah,26.5833,49.9833
Aleksinac,43.5383,21.7047
An Najaf,32.029,44.3396
An Nāşirīyah,31.0439,46.2575
Ar Ramādī,33.4258,43.2992
Ar Raqqah,35.95,39.01
Ar Riqqah,29.1489,48.1057
Ar Rumaythah,31.5283,45.2039
Ar Ruţbah,33.0333,40.2833
Arandu,35.31,71.55
Arvand Kenār,29.9789,48.5206
Arvand Kenār,30.0078,48.53
As Safīrah,36.0769,37.3725
As Samāwah,31.332,45.2944
As Sa‘dīyah,34.1906,45.1208
As Sidrah,30.6294,18.3503
As Sukhnah,34.8869,38.8719
As Suwaydā’,32.7,36.5667
Asadābād,34.8742,71.1528
Ash Shaddādah,36.0561,40.7303
Ash Shaykhān,36.6958,43.3519
Ash Shaţrah,31.4097,46.1717
Ash Shiḩr,14.7608,49.6069
Ash Shāmīyah,31.9625,44.6008
At Tājī,33.5092,44.2342
Ataq,14.5364,46.8331
Ath Thawrah,35.8344,38.5464
Aw Dheegle,1.9833,44.8
Ayun,35.7158,71.7708
Az Zubayr,30.3892,47.7081
Aş Şaqlāwīyah,33.3964,43.6833
Aḑ Ḑulū‘īyah,34.0328,44.2248
Baghdad,33.3153,44.3661
Bagrāmī,34.4911,69.2756
Bajram Curri,42.3582,20.076
Balad,34.0147,44.1456
Baladrūz,33.6961,45.0778
Balkh,36.7581,66.8989
Bannu,32.9889,70.6056
Baraawe,1.1133,44.0303
Barakī,33.9333,68.9167
Barakī Barak,33.9692,68.9447
Barţalah,36.3517,43.3792
Bayjī,34.9292,43.4931
Ba‘qūbah,33.7447,44.6436
Beledweyne,4.736,45.204
Belgrade,44.8178,20.4569
Bin Jawwād,30.8068,18.0736
Bongabong,12.7469,121.4881
Borča,44.8667,20.4667
Boucan Carré,18.9667,-72.2
Bugojno,44.0572,17.4508
Buhriz,33.7,44.6667
Buni,36.2728,72.2597
Buqda Caqable,4.0667,45.25
Buqkoosaar,4.5108,44.8164
Buur Gaabo,-1.2192,41.8372
Bāghūz Fawqānī,34.4586,40.9506
Bālā Kōh,36.5753,66.8203
Bāmyān,34.8167,67.8167
Bāzārak,35.3131,69.5153
Cadaado,6.15,46.6333
Cadale,2.7599,46.3228
Ceel Dheere,5.3683,46.1911
Ceelbuur,4.685,46.6175
Chaman,30.921,66.4597
Chitral,35.8511,71.7889
Corcuera,12.8,122.05
Crna Trava,42.8101,22.299
Dayr az Zawr,35.3333,40.15
Dayr Ḩāfir,36.1592,37.704
Delmas,18.55,-72.3
Deçan,42.5333,20.2833
Dhuusamarreeb,5.5375,46.3875
Doruma,4.7333,27.7
Dushanovë,42.2347,20.7091
Erbil,36.1911,44.0094
Farāh,32.3436,62.1194
Fojnica,43.9667,17.9
Gadoon,5.6897,46.6847
Gardēz,33.5931,69.2297
Gereshk,31.8167,64.5667
Ghabrah,34.5378,40.9125
Ghaznī,33.5492,68.4233
Ghōriyān,34.3448,61.4932
Gjakovë,42.3825,20.4356
Gloria,12.9722,121.4778
Godinlabe,5.8794,46.6308
Gornji Vakuf,43.9333,17.5833
Haider Khel,32.9449,70.296
Haskah Mēnah,34.1169,70.4611
Herāt,34.3419,62.2031
Hobyo,5.3514,48.5256
Homs,34.7333,36.7167
Hīt,33.6417,42.825
Idak,32.9741,70.1988
Imam Qasim,32.2978,44.6828
Ishkāshim,36.7092,71.5739
Istog,42.7808,20.4875
Jalawlā’,34.2772,45.1778
Jalālābād,34.4303,70.4528
Jandola,32.3331,70.1144
Junik,42.4833,20.2833
Kabul,34.5328,69.1658
Kafr Takhārīm,36.1167,36.5167
Kandahār,31.6207,65.7159
Karukh,34.49,62.59
Khartoum,15.6031,32.5265
Khartoum North,15.6333,32.6333
Khānah Sūr,36.4731,41.6161
Khānābād,36.6831,69.1636
Khōst,33.3333,69.9167
Kirkuk,35.4667,44.4
Klinë,42.6217,20.5778
Kulachi,31.9286,70.4592
Kunduz,36.7289,68.8569
Kuwait City,29.375,47.98
Lamu,-2.2686,40.9003
Landi Kotal,34.1011,71.1456
Lashkar Gāh,31.5938,64.3716
Lawdar,13.8828,45.8677
Leskovac,42.9981,21.9461
Madan,30.3392,48.3042
Madīnat al Ḩabbānīyah,33.3833,43.5833
Madīnat ash Shamāl,26.1167,51.2167
Mahād,36.6472,43.4117
Mahīn,34.25,37.0667
Makhmūr,35.7833,43.5833
Malak Abad,34.8,71.8
Mamushë,42.3308,20.7269
Manbij,36.5333,37.95
Mandalī,33.7481,45.555
Marib,15.4625,45.3258
Marka,1.7156,44.7703
Maskanah,35.9632,38.0356
Mazār-e Sharīf,36.7,67.1167
Maīmanah,35.9333,64.75
Maḩmūd-e Rāqī,35.0206,69.3306
Mehtar Lām,34.6683,70.2089
Mereeg,3.7667,47.3
Merošina,43.2833,21.7167
Mogadishu,2.0392,45.3419
Mosul,36.3667,43.1167
Māmā Khēl,34.25,70.01
Māri‘,36.4828,37.1964
Mūdīyah,13.9333,46.0833
Mūḩ Ḩasan,35.2394,40.3244
Novi Sad,45.2644,19.8317
Nāḩiyat Ghammās,31.7431,44.6194
Nāḩiyat Khān Banī Sa‘d,33.5656,44.5433
Nāḩiyat al Iskandarīyah,32.9,44.35
Nāḩiyat al Karmah,33.3997,43.9089
Nāḩiyat al Kifl,32.2242,44.3767
Nāḩiyat al ‘Āmirīyah,33.1653,43.8655
Nīlī,33.7218,66.1302
Obo,5.3967,26.4925
Omdurman,15.6835,32.4629
Paghmān,34.5833,68.95
Panjāb,34.3833,67.0167
Parachinar,33.8992,70.1008
Petrovaradin,45.25,19.8667
Port-au-Prince,18.5469,-72.3403
Prizren,42.23,20.74
Pul-e ‘Alam,33.9833,69.0333
Pārūn,35.4167,70.9167
Pāveh,35.0433,46.3564
Qalāt,32.1061,66.9069
Qal‘ah-ye Now,34.9872,63.1289
Qal‘ah-ye Zāl,37.015,68.4672
Qoryooley,1.7667,44.5167
Quiapo,14.6004,120.986
Radā‘,14.4151,44.8371
Rafḩā,29.6284,43.5208
Rahovec,42.3994,20.6547
Ras Tanura,26.7074,50.0632
Rawānduz,36.6119,44.5247
Ra’s al Khafjī,28.4211,48.4956
Rāwah,34.4792,41.9083
Sab‘ al Būr,33.4644,44.1536
Sadda,33.705,70.3308
Salmān Bāk,33.1,44.5833
Sampaloc,14.6031,121.0022
San Miguel,14.6,121.0
Sanaa,15.35,44.2
Sangīn,32.0733,64.8339
Sar-e Pul,36.2214,65.9278
Sarmadā,36.1833,36.7167
Sayyid Şādiq,35.35,45.8667
Say’ūn,15.9433,48.7933
Shabqadar,34.2139,71.5552
Shahbā,32.8539,36.6294
Shaqlāwah,36.3964,44.3436
Sharan,33.1757,68.7304
Shibirghān,36.665,65.752
Shibām,15.9269,48.6267
Shuyūkh Fawqānī,36.7719,38.0448
Sinjār,36.3208,41.8764
Sinūnī,36.4575,41.7061
Sokobanja,43.6394,21.8694
Spīn Bōldak,31.0081,66.3981
Sremska Kamenica,45.223,19.8431
Surt,31.2,16.6
Sāmarrā’,34.1959,43.8857
Tabarre,18.5833,-72.2667
Tadmur,34.56,38.2672
Taftanāz,35.9981,36.7847
Takhta-Bazar,35.9561,62.9178
Tall Abyaḑ,36.6975,38.9567
Tall Banāt,36.255,42.0164
Tall Qaşab,36.2583,41.9431
Tall ‘Afar,36.3792,42.4497
Tall ‘Aran,36.1231,37.3369
Tambura,5.6064,27.4731
Tank,32.2167,70.3833
Tarīm,16.05,49.0
Tarīn Kōṯ,32.6242,65.8767
Taywarah,33.51,64.42
Thal,33.3644,70.5475
Tikrīt,34.6,43.6833
Timargara,34.8281,71.8408
Tmassah,26.3945,15.7846
Tujg,32.0686,61.8058
Tādif,36.3481,37.5308
Tāzah Khūrmātū,35.3033,44.3308
Umm Qaşr,30.0342,47.9294
Umm al ‘Abīd,27.5167,15.0333
Urgūn,32.9781,69.193
Verrettes,19.05,-72.4667
Ville Bonheur,18.8167,-72.2
Vitomiricë,42.695,20.3386
Vlasotince,42.9667,22.1333
Witu,-2.3889,40.4383
Xarardheere,4.6544,47.8575
Zarghūn Shahr,32.8473,68.4457
Zaṟah Sharan,33.1719,68.7864
Zemun,44.85,20.4
Zillah,28.5489,17.5511
Ālbū Kamāl,34.45,40.9186
Āltūn Kawbrī,35.7533,44.1436
Şafwān,30.1167,47.7167
Ḩadīthah,34.1397,42.3725
Ḩalabjah,35.1833,45.9833
Ḩammām al ‘Alīl,36.1581,43.2594
Ḩarīr,36.5517,44.3516
Ḩukūmatī Baghrān,33.0669,65.0917
Ḩukūmatī Gīzāb,33.3377,66.2843
Ḩārim,36.2076,36.5192
‘Anah,34.3686,41.9819
‘Ayn al ‘Arab,36.891,38.3536
‘Aynkāwah,36.2292,43.9936
